Wall time,Step,Value
1767766055.64518,6,2.0584850311279297
1767766090.807798,16,1.8239209651947021
1767766101.6555626,19,1.8792904615402222
1767766123.8206382,25,1.6554327011108398
1767766188.4127414,41,1.7966618537902832
1767766195.7906575,43,1.6596001386642456
1767766203.0124538,45,1.6702860593795776
1767766206.5897994,46,1.7031288146972656
1767766213.9706752,48,1.642046570777893
1767766239.2585046,54,1.9024114608764648
1767766242.7574172,55,1.5668658018112183
1767766249.9609563,57,1.5541808605194092
1767766285.8665435,66,1.6328351497650146
1767766308.004699,72,1.506872296333313
1767766311.5705056,73,1.744123935699463
1767766315.6811068,74,1.564076542854309
1767766319.8046203,75,1.5774585008621216
1767766340.4465585,80,1.7687283754348755
1767766373.81821,88,1.644063115119934
1767766399.9145722,95,1.4757169485092163
1767766433.317433,103,1.453886866569519
1767766446.13259,106,1.557855248451233
1767766449.8168995,107,1.5395729541778564
1767766475.623573,114,1.5696054697036743
1767766496.729846,119,1.387056827545166
1767766529.1395342,127,1.62871253490448
1767766541.0275636,130,1.4116671085357666
1767766545.6242497,131,1.5401092767715454
1767766582.9442167,140,1.2920159101486206
1767766590.1427555,142,1.3203775882720947
1767766593.7484317,143,1.5109944343566895
1767766625.9042668,151,1.217498540878296
1767766646.313201,156,1.4799528121948242
1767766658.1275003,159,1.2607008218765259
1767766694.862541,168,1.4589498043060303
1767766698.9613128,169,1.2949743270874023
1767766713.3232892,172,1.1569627523422241
1767766739.5742424,178,1.2972865104675293
1767766744.2862482,179,1.2692447900772095
1767766765.5981843,184,1.4811666011810303
1767766775.3534684,186,1.323804497718811
1767766779.9725766,187,1.1287986040115356
1767766796.8845093,191,1.2231695652008057
1767766801.5291998,192,1.2286381721496582
1767766832.5269055,199,1.2697935104370117
1767766866.7469375,207,1.515424370765686
1767766870.6623921,208,1.32167387008667
1767766874.69259,209,1.4550471305847168
1767766893.056565,213,1.0487196445465088
1767766937.9370055,224,1.244917869567871
1767766964.121377,230,1.3787802457809448
1767766985.55672,235,1.2637742757797241
1767766999.751727,238,1.2718439102172852
1767767051.6946514,250,1.3718292713165283
1767767077.9972854,256,1.138261079788208
1767767099.4263775,261,1.2083821296691895
1767767113.612503,264,1.3353315591812134
1767767129.5519445,268,1.1674786806106567
1767767147.621153,272,1.0134716033935547
1767767155.9069767,274,1.0976629257202148
1767767238.6531827,293,0.9690350890159607
1767767261.22917,298,1.0199825763702393
1767767265.1250196,299,1.097815752029419
1767767287.0728273,304,1.2687913179397583
1767767303.1621342,308,1.2355552911758423
1767767307.7022853,309,1.0642091035842896
1767767316.6538973,311,0.9378613233566284
1767767350.065404,319,1.209757924079895
1767767354.10429,320,1.0243388414382935
1767767381.0635192,326,0.9551511406898499
1767767385.1496184,327,0.9875078797340393
1767767389.1290948,328,1.216841697692871
1767767403.6647158,331,1.0863004922866821
1767767446.030794,340,1.1958286762237549
1767767484.2808676,348,1.214847207069397
1767767552.0087047,364,1.1077884435653687
1767767569.991063,368,1.021607756614685
1767767594.6019342,374,1.050615668296814
1767767611.25802,378,1.1153812408447266
1767767620.1879654,380,1.0847464799880981
1767767778.2098258,392,1.0090032815933228
1767767781.9269154,393,1.0892930030822754
1767767845.9202795,409,1.199750304222107
1767767891.1750953,422,0.9849021434783936
1767767894.2858374,423,1.0196895599365234
1767767900.9794278,425,0.8687413334846497
1767767923.1715581,431,0.890292227268219
1767767953.9278784,440,0.9572839736938477
1767767960.3329053,442,1.0411890745162964
