Wall time,Step,Value
1767747256.931275,6,1.6663074493408203
1767747285.7774134,16,1.7557109594345093
1767747294.3500054,19,1.520046353340149
1767747313.203032,25,1.4391828775405884
1767747361.8154323,41,1.5406633615493774
1767747368.0501814,43,1.4771711826324463
1767747374.102158,45,1.3174731731414795
1767747376.9586754,46,1.4485160112380981
1767747382.7082567,48,1.360144853591919
1767747400.5498016,54,1.2306209802627563
1767747403.7409935,55,1.4160749912261963
1767747409.6675565,57,1.1770083904266357
1767747436.44895,66,1.3470748662948608
1767747454.0693166,72,1.4273213148117065
1767747457.339943,73,1.2046233415603638
1767747460.360074,74,1.1259592771530151
1767747463.3608727,75,1.3951200246810913
1767747478.2782295,80,1.199620246887207
1767747503.507325,88,1.2923961877822876
1767747525.204889,95,1.0691044330596924
1767747549.349395,103,1.1878635883331299
1767747558.5412867,106,1.2195414304733276
1767747561.4748418,107,1.2228251695632935
1767747582.552112,114,1.3078124523162842
1767747597.9108818,119,1.2450997829437256
1767747622.2428596,127,1.0927231311798096
1767747631.7526572,130,1.1698346138000488
1767747635.7563455,131,1.1438121795654297
1767747667.124448,140,1.138174295425415
1767747673.5433896,142,1.4263715744018555
1767747677.3921144,143,1.1388938426971436
1767747702.2725253,151,1.2621502876281738
1767747719.249346,156,1.04326331615448
1767747731.81184,159,1.155709147453308
1767747762.3457816,168,1.0852820873260498
1767747765.3486207,169,1.1579886674880981
1767747774.413063,172,1.1033841371536255
1767747792.5693886,178,1.0613460540771484
1767747795.5908208,179,1.183912992477417
1767747811.352582,184,1.1658066511154175
1767747818.4373446,186,0.8800067901611328
1767747821.7519553,187,1.1204115152359009
1767747834.3416977,191,1.1296244859695435
1767747837.6846569,192,1.0491725206375122
1767747866.4162228,199,1.0439785718917847
1767747891.8724375,207,0.9019170999526978
1767747895.5873494,208,0.9129220843315125
1767747899.4871018,209,0.9332611560821533
1767747916.1313877,213,0.9659910798072815
1767747951.6808465,224,0.9707289934158325
1767747971.601259,230,1.1223902702331543
1767747992.6195633,235,1.056743860244751
1767748004.8606052,238,1.2315407991409302
1767748053.5110478,250,1.01167893409729
1767748077.8591316,256,0.8431944251060486
1767748097.5970767,261,1.012237310409546
1767748110.017663,264,0.9236147999763489
1767748126.101734,268,0.8946354389190674
1767748142.023717,272,1.0621854066848755
1767748150.1012564,274,0.9725021123886108
1767748227.4654515,293,0.9162588715553284
1767748248.1195219,298,1.0877182483673096
1767748252.107969,299,0.9983096122741699
1767748271.6031964,304,0.7612606287002563
1767748284.86454,308,0.9831134676933289
1767748287.577293,309,0.9997738599777222
1767748293.1803315,311,0.787533164024353
1767748316.4195404,319,0.9619415402412415
1767748319.4367917,320,0.7671428918838501
1767748338.3008528,326,0.9261403679847717
1767748341.3008926,327,0.7827914953231812
1767748344.2184205,328,0.9146721363067627
1767748353.0222266,331,0.9265980124473572
1767748380.1300247,340,0.8954388499259949
1767748404.4935906,348,0.9116542339324951
1767748455.386582,364,0.8982465863227844
1767748467.4968662,368,0.7260950803756714
1767748487.3889966,374,0.7870171070098877
1767748501.2406356,378,1.1090012788772583
1767748509.3966837,380,0.9759052395820618
1767748629.4187799,392,0.8330426216125488
1767748632.4659023,393,0.876034140586853
1767748687.6094198,409,0.7697759866714478
1767748730.0976264,422,0.8082881569862366
1767748733.2777827,423,0.8474650979042053
1767748739.4981427,425,0.8922393321990967
1767748760.0293639,431,0.8826490044593811
1767748790.2517905,440,0.9270947575569153
1767748796.5805848,442,0.7566294074058533
1767748799.738616,443,0.8679133057594299
1767748809.3636172,446,0.8744181990623474
1767748831.5229027,452,0.7620773911476135
1767748865.244048,461,0.8019601702690125
1767748874.8021462,464,0.7847551107406616
1767748877.8714893,465,0.674304187297821
1767748907.1292057,474,0.8323653340339661
1767748910.2740355,475,0.6943159699440002
1767748962.3277464,490,0.7089023590087891
1767748969.3175592,492,0.8118939399719238
1767748975.7179475,494,0.9118509888648987
1767749021.6782367,508,0.7588945031166077
1767749042.264638,513,0.793340802192688
1767749048.4668686,515,0.775455892086029
1767749057.9557757,518,0.8806436657905579
1767749084.3781002,526,0.7953749299049377
1767749107.6745033,532,0.8069988489151001
1767749115.2534606,534,0.7617400884628296
1767749126.0693073,537,0.7612400054931641
1767749146.8695126,543,0.8636250495910645
1767749162.6183665,548,0.8651639819145203
1767749166.0414019,549,1.0281747579574585
1767749198.308124,558,0.6287060379981995
1767749205.8321276,560,0.7398929595947266
1767749219.8229961,564,0.8759676814079285
1767749223.0762181,565,0.8188760280609131
1767749239.191863,570,1.0477224588394165
1767749253.5948954,574,0.8765770792961121
1767749258.6883402,575,0.9428903460502625
1767749276.5005138,580,0.5477926731109619
1767749283.7512646,582,0.9373263716697693
1767749287.4277997,583,0.7918097376823425
1767749294.0964167,585,0.860751748085022
1767749300.275043,587,0.6934699416160583
1767749303.4608727,588,0.8394487500190735
1767749320.640527,593,0.7394858002662659
1767749324.028851,594,0.7920186519622803
1767749355.4258463,603,0.5819564461708069
1767749375.4771698,609,0.636890172958374
1767749384.1279938,611,0.6604359149932861
1767749403.8361442,616,0.6679990887641907
1767749422.619601,621,0.6860775947570801
1767749428.9104605,623,0.5881873965263367
1767749471.0756052,635,0.7812197804450989
1767749495.4119668,642,0.6622186303138733
1767749499.7811482,643,0.5996007323265076
1767749506.2092788,645,0.6915408372879028
1767749509.4090793,646,0.7681090235710144
1767749512.5291688,647,0.6922879815101624
1767749515.6579382,648,0.7314890027046204
1767749521.7584841,650,0.6547644138336182
1767749531.48395,653,0.74126136302948
1767749546.0297074,657,0.7045040726661682
1767749563.6164804,662,0.6312063932418823
1767749575.416366,665,0.8161940574645996
1767749588.586194,669,0.6911376714706421
1767749598.783564,672,0.6736162304878235
1767749602.4338224,673,0.8023424744606018
1767749610.072465,675,0.6697081327438354
1767749613.474459,676,0.7045547962188721
1767749624.4050665,679,0.5160198211669922
1767749627.460167,680,0.7366859316825867
1767749636.9147809,683,0.6806305646896362
1767749640.1459434,684,0.7796741724014282
1767749657.9365294,689,0.80926513671875
1767749662.1207595,690,0.8351284861564636
1767749685.1334012,697,0.6352023482322693
1767749695.1727629,700,0.5807623267173767
1767749711.439976,704,0.6651959419250488
1767749720.831635,707,0.8073845505714417
1767749727.7286413,709,0.8309165239334106
1767749735.7960708,711,0.5281146764755249
1767749750.0589702,715,0.9536389708518982
1767749765.7797036,719,0.677071750164032
1767749776.1497293,722,0.7334609031677246
1767749779.3467507,723,0.7606258988380432
1767749782.6423948,724,0.445948988199234
1767749808.0361545,731,0.8085591197013855
1767749827.0495255,737,0.7654568552970886
1767749833.3921306,739,0.6737450361251831
1767749836.7539656,740,0.7214846014976501
1767749851.907166,744,0.49436914920806885
1767749866.3257823,748,0.7931830286979675
1767749875.760092,751,0.5041269063949585
1767749879.0033536,752,0.5977720022201538
1767749882.3039076,753,0.6674080491065979
1767749889.1910958,755,0.5848139524459839
1767749896.7062342,757,0.678629457950592
1767749930.8811147,766,0.9170869588851929
1767749935.1241276,767,0.7520661950111389
1767749945.317179,770,0.8851493000984192
1767749948.4461162,771,0.5518383979797363
1767749951.5641346,772,0.6445178985595703
1767749957.796288,774,0.8516576886177063
1767749960.9109263,775,0.6999021172523499
1767749984.5821283,781,0.6387626528739929
1767750081.3380237,785,0.5741364359855652
1767750084.6932232,786,0.6611679792404175
1767750091.5337684,788,0.6812000274658203
1767750099.7217839,790,0.5795166492462158
1767750112.3942926,793,0.7397117614746094
1767750116.1089969,794,0.4435690939426422
1767750119.8117335,795,0.6190952062606812
1767750123.2352526,796,0.6277641654014587
1767750134.0623388,799,0.6641719341278076
1767750148.6963358,803,0.5547823905944824
1767750159.0753405,806,0.7831405401229858
1767750166.7216163,808,0.7859640717506409
1767750170.9337814,809,0.5130978226661682
1767750173.8534884,810,0.508704662322998
1767750194.4971569,816,0.5904595851898193
1767750198.4847434,817,0.769631028175354
1767750216.27354,822,0.5560275316238403
1767750229.6197898,826,0.5455076694488525
1767750239.698529,829,0.7632916569709778
1767750255.4865236,833,0.6365298628807068
1767750268.4283264,837,0.7355878353118896
1767750275.938461,839,0.5245522260665894
1767750293.5987911,844,0.5626497864723206
1767750305.784787,847,0.6020982265472412
1767750378.5148041,868,0.6541633605957031
1767750385.5313537,870,0.6576523780822754
1767750389.1162648,871,0.6928605437278748
1767750403.7980802,875,0.7563230991363525
1767750410.4121263,877,0.5114094018936157
1767750424.9835835,881,0.7170208692550659
1767750432.3555493,883,0.5894983410835266
1767750438.7777069,885,0.6441431045532227
1767750461.078948,891,0.6985505819320679
1767750481.3103783,897,0.636072039604187
1767750494.7509904,901,0.5834934115409851
1767750521.1800466,908,0.8669711947441101
1767750524.7305553,909,0.5661527514457703
1767750528.3651714,910,0.578133225440979
1767750532.1784663,911,0.5672469735145569
1767750550.0422401,916,0.7205252647399902
1767750556.9090822,918,0.4634471833705902
1767750568.660516,921,0.5812544822692871
1767750571.7420053,922,0.7730454206466675
1767750575.3002882,923,0.6600706577301025
1767750579.6084094,924,0.540919303894043
1767750609.0768497,932,0.622959554195404
1767750612.3373277,933,0.6085516214370728
1767750621.8141282,936,0.6418358087539673
1767750645.3621764,943,0.7537634372711182
1767750655.2311735,946,0.729956865310669
1767750688.586638,955,0.5294308662414551
1767750697.2966843,957,0.5640684962272644
1767750702.1426682,958,0.6846867799758911
1767750705.450199,959,0.5626873970031738
1767750715.2532659,962,0.6507771015167236
1767750718.7804544,963,0.6690977215766907
1767750734.0881758,967,0.5143682360649109
1767750749.9352663,972,0.5029035806655884
1767750753.101491,973,0.5468103289604187
1767750766.5923822,977,0.6175310015678406
1767750770.2699444,978,0.6243560314178467
1767750773.913722,979,0.5695224404335022
1767750778.0701523,980,0.740959882736206
1767750793.543681,984,0.5309740900993347
1767750797.026868,985,0.6143500208854675
1767750808.7320757,988,0.5399305820465088
1767750813.168141,989,0.6480925679206848
1767750839.0053587,997,0.8877168297767639
1767750853.1925266,1001,0.5800145864486694
1767750861.6501431,1003,0.866919219493866
1767750868.8046212,1005,0.6499269008636475
1767750872.1533196,1006,0.7449493408203125
1767750898.263078,1013,0.5617493391036987
1767750901.533956,1014,0.7112568616867065
1767750904.98644,1015,0.6446142792701721
1767750916.050291,1018,0.5353395342826843
1767750948.3202658,1026,0.5298792719841003
1767750955.7834144,1028,0.43113788962364197
